Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;3,68;1,75;1,42;0,28;7,13;91,00;12,00;8,90;432;Naughty Dog;E
Mario Kart 8;WiiU;2014;Racing;Nintendo;3,15;2,15;1,28;0,51;7,09;88,00;82,00;9,10;1599;Nintendo;E
Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;4,41;1,04;1,39;0,22;7,07;92,00;38,00;9,10;568;HAL Labs;T
Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;4,12;1,77;0,87;0,19;6,95;;;;;;
Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;2,71;3,02;0,08;1,09;6,90;82,00;39,00;8,60;132;EA Canada;E
Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;2,93;2,75;0,17;0,99;6,83;88,00;29,00;8,50;135;EA LA;T
Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;3,23;2,35;0,94;0,30;6,82;;;;;;
Just Dance 4;Wii;2012;Misc;Ubisoft;4,05;2,16;0,00;0,55;6,76;74,00;10,00;7,30;28;Ubisoft;E10+
Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;4,15;1,90;0,06;0,64;6,75;93,00;90,00;7,70;2739;Epic Games;M
Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;2,77;2,75;0,19;1,03;6,74;92,00;97,00;8,30;3712;Naughty Dog;T
Zumba Fitness;Wii;2010;Sports;505 Games;3,45;2,59;0,00;0,66;6,71;;;tbd;;Pipeworks Software, Inc.;E
Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;3,11;2,26;0,28;1,03;6,68;94,00;44,00;8,40;993;Infinity Ward;M
Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;3,27;2,20;0,21;0,98;6,66;96,00;105,00;8,80;5187;Naughty Dog;T
FIFA 12;PS3;2011;Sports;Electronic Arts;0,84;4,30;0,11;1,39;6,65;;;;;;
Big Brain Academy;DS;2005;Misc;Nintendo;1,66;2,75;1,60;0,62;6,62;74,00;45,00;7,40;27;Nintendo;E
The Legend of Zelda;NES;1986;Action;Nintendo;3,74;0,93;1,69;0,14;6,51;;;;;;
Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2,79;2,53;0,17;0,99;6,49;95,00;73,00;8,80;2456;Rockstar San Diego;M
FIFA 14;PS3;2013;Sports;Electronic Arts;0,78;4,24;0,07;1,37;6,47;86,00;37,00;4,30;576;EA Canada;E
Assassin's Creed III;PS3;2012;Action;Ubisoft;2,64;2,52;0,16;1,12;6,45;85,00;41,00;6,90;1307;Ubisoft;M
Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;3,17;1,79;1,03;0,46;6,44;87,00;77,00;8,60;368;Retro Studios;E
Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;4,98;1,30;0,08;0,07;6,43;97,00;68,00;8,60;1283;Bungie Software;M
The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;2,55;2,60;0,25;1,00;6,41;92,00;16,00;6,40;2527;Bethesda Game Studios;M
Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo;2,57;1,58;2,06;0,21;6,41;76,00;28,00;9,00;222;Game Freak;E
Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;3,64;1,20;1,49;0,07;6,40;85,00;46,00;8,80;597;SquareSoft;E
Pokémon Crystal Version;GB;2000;Role-Playing;Nintendo;2,55;1,56;1,29;0,99;6,39;;;;;;
Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;4,34;1,34;0,06;0,61;6,34;83,00;94,00;7,10;1163;Bungie Software, Bungie;M
Red Dead Redemption;X360;2010;Action;Take-Two Interactive;3,70;1,95;0,09;0,58;6,32;95,00;96,00;9,00;2316;Rockstar San Diego;M
Super Mario Sunshine;GC;2002;Platform;Nintendo;4,01;1,26;0,87;0,17;6,31;92,00;61,00;8,60;439;Nintendo;E
Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;2,47;0,83;2,87;0,12;6,30;;;;;;
World of Warcraft;PC;2004;Role-Playing;Activision;0,08;6,21;0,00;0,00;6,29;93,00;57,00;7,30;2182;Blizzard Entertainment;T
Driver;PS;1999;Action;GT Interactive;3,11;2,80;0,02;0,33;6,27;87,00;22,00;8,10;78;Reflections Interactive;T
Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;4,05;1,59;0,07;0,50;6,21;91,00;96,00;7,80;1504;Epic Games;M
Kinect Sports;X360;2010;Sports;Microsoft Game Studios;3,92;1,73;0,03;0,51;6,19;73,00;51,00;7,40;95;Rare Ltd.;E10+
Gears of War;X360;2006;Shooter;Microsoft Game Studios;3,54;1,88;0,07;0,60;6,09;94,00;88,00;8,30;2295;Epic Games;M
FIFA 15;PS4;2014;Sports;Electronic Arts;0,80;4,33;0,05;0,90;6,08;82,00;47,00;5,70;988;EA Sports;E
Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;2,45;2,01;0,87;0,72;6,05;96,00;42,00;8,70;1026;KCEJ;M
